date,party,lower_95_ev,lower_60_ev,median_ev,upper_60_ev,upper_95_ev
2020-08-02,republican,109,150,192,246,325
2020-08-03,democratic,210,289,343,384,427
2020-08-03,republican,111,154,195,249,328
2020-08-04,democratic,212,288,343,386,427
2020-08-04,republican,111,152,195,250,326
2020-08-05,democratic,213,290,343,386,427
2020-08-05,republican,111,152,195,248,325
2020-08-06,democratic,213,293,347,388,429
2020-08-06,republican,109,150,191,245,325
2020-08-07,democratic,215,295,347,387,428
2020-08-07,republican,110,151,191,243,323
2020-08-08,democratic,214,294,347,388,429
2020-08-08,republican,109,150,191,244,324
2020-08-09,democratic,214,292,344,386,427
2020-08-09,republican,111,152,194,246,324
2020-08-10,democratic,213,290,342,383,427
2020-08-10,republican,111,155,196,248,325
2020-08-11,democratic,212,288,340,383,426
2020-08-11,republican,112,155,198,250,326
2020-08-12,democratic,213,290,342,383,425
2020-08-12,republican,113,155,196,248,325
2020-08-13,democratic,212,288,340,381,424
2020-08-13,republican,114,157,198,250,326
2020-08-14,democratic,213,290,342,383,425
2020-08-14,republican,113,155,196,248,325
2020-08-15,democratic,213,289,341,383,424
2020-08-15,republican,114,155,197,249,325
2020-08-16,democratic,210,285,339,377,422
2020-08-16,republican,116,161,199,253,328
2020-08-17,democratic,209,282,335,374,421
2020-08-17,republican,117,164,203,256,329
2020-08-18,democratic,209,281,335,374,421
2020-08-18,republican,117,164,203,257,329
2020-08-19,democratic,210,286,337,374,421
2020-08-19,republican,117,164,201,252,328
2020-08-20,democratic,209,284,337,377,421
2020-08-20,republican,117,161,201,254,329
2020-08-21,democratic,213,288,339,377,421
2020-08-21,republican,117,161,199,250,325
2020-08-22,democratic,213,289,339,378,422
2020-08-22,republican,116,160,199,249,325
2020-08-23,democratic,213,290,340,378,422
2020-08-23,republican,116,160,198,248,325
2020-08-24,democratic,218,298,347,384,424
2020-08-24,republican,114,154,191,240,320
2020-08-25,democratic,215,294,345,383,424
2020-08-25,republican,114,155,193,244,323
2020-08-26,democratic,222.975,302,350,388,429
2020-08-26,republican,109,150,188,236,315.025
2020-08-27,democratic,215,290,342,381,424
2020-08-27,republican,114,157,196,248,323
2020-08-28,democratic,213,290,341,381,424
2020-08-28,republican,114,157,197,248,325
2020-08-29,democratic,211,284,337,377,421
2020-08-29,republican,117,161,201,254,327
2020-08-30,democratic,212,282,337,375,421
2020-08-30,republican,117,163,201,256,326
2020-08-31,democratic,210,284,337,377,421
2020-08-31,republican,117,161,201,254,328
2020-09-01,democratic,208,279,333,374,421
2020-09-01,republican,117,164,205,259,330
2020-09-02,democratic,209,281,335,375,421
2020-09-02,republican,117,163,203,257,329
2020-09-03,democratic,209,279,334,374,421
2020-09-03,republican,117,164,204,259,329
2020-09-04,democratic,209,276,334,374,420
2020-09-04,republican,118,164,204,262,329
2020-09-05,democratic,209,277,334,374,421
2020-09-05,republican,117,164,204,261,329
2020-09-06,democratic,209,279,334,374,421
2020-09-06,republican,117,164,204,259,329
2020-09-07,democratic,209,279,334,374,421
2020-09-07,republican,117,164,204,259,329
2020-09-08,democratic,209,278,333,374,421
2020-09-08,republican,117,164,205,260,329
2020-09-09,democratic,210,284,335,375.2,421
2020-09-09,republican,117,162.8,203,254,328
2020-09-10,democratic,209,280,334,374,421
2020-09-10,republican,117,164,204,258,329
2020-09-11,democratic,209,279,334,374,418
2020-09-11,republican,120,164,204,259,329
2020-09-12,democratic,206,278,333,374,421
2020-09-12,republican,117,164,205,260,332
2020-09-13,democratic,209,279,333,374,421
2020-09-13,republican,117,164,205,259,329
2020-09-14,democratic,209,279,334,374,421
2020-09-14,republican,117,164,204,259,329
2020-09-15,democratic,209,279,334,374,418.05
2020-09-15,republican,119.95,164,204,259,329
2020-09-16,democratic,213,288,335,374,421
2020-09-16,republican,117,164,203,250,325
2020-09-17,democratic,213,286,335,374,421
2020-09-17,republican,117,164,203,252,325
2020-09-18,democratic,216,288,336,375,421
2020-09-18,republican,117,163,202,250,322
2020-09-19,democratic,213,285,334,374,418
2020-09-19,republican,120,164,204,253,325
2020-09-20,democratic,215,287,335,374,420
2020-09-20,republican,118,164,203,251,323
2020-09-21,democratic,213,283,334,374,415.025
2020-09-21,republican,122.975,164,204,255,325
2020-09-22,democratic,213,281,334,374,416
2020-09-22,republican,122,164,204,257,325
2020-09-23,democratic,213,280,334,374,418
2020-09-23,republican,120,164,204,258,325
2020-09-24,democratic,213,279,330,372,415
2020-09-24,republican,123,166,208,259,325
2020-09-25,democratic,213,281,333,374,415
2020-09-25,republican,123,164,205,257,325
2020-09-26,democratic,213,280,334,374,415
2020-09-26,republican,123,164,204,258,325
2020-09-27,democratic,213,279,331,373,415
2020-09-27,republican,123,165,207,259,325
2020-09-28,democratic,213,281,332,374,415
2020-09-28,republican,123,164,206,257,325
2020-09-29,democratic,216,288,334,374,415
2020-09-29,republican,123,164,204,250,322
2020-09-30,democratic,219,290,337,374,418
2020-09-30,republican,120,164,201,248,319
2020-10-01,democratic,222,292,339,374,421
2020-10-01,republican,117,164,199,246,316
2020-10-02,democratic,216,288,335,374,415
2020-10-02,republican,123,164,203,250,322
2020-10-03,democratic,215,288,335,374,415
2020-10-03,republican,123,164,203,250,323
2020-10-04,democratic,220,290,339,374,421
2020-10-04,republican,117,164,199,248,318
2020-10-05,democratic,222,294,341,375,421
