State,State_abb,state_fips,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
Ohio,OH,39,14-Sep,18,50,0.3015,0.377368882,0.347021329
Oklahoma,OK,40,14-Sep,7,50,0.0385,0.045801796,0.042881078
Oregon,OR,41,14-Sep,7,50,0.7145,0.984984842,0.876790905
Pennsylvania,PA,42,14-Sep,20,50,0.811,0.726190669,0.760114401
Rhode Island,RI,44,14-Sep,4,50,0.7155,0.929641358,0.843984815
South Carolina,SC,45,14-Sep,9,50,0.223,0.19643323,0.207059938
South Dakota,SD,46,14-Sep,3,50,0.0755,0.013020918,0.038012551
Tennessee,TN,47,14-Sep,11,50,0.0765,0.319544468,0.222326681
Texas,TX,48,14-Sep,38,50,0.3335,0.18556533,0.244739198
Utah,UT,49,14-Sep,6,50,0.145,0.37877746,0.285266476
Vermont,VT,50,14-Sep,3,50,0.9005,0.975480881,0.945488528
Virginia,VA,51,14-Sep,13,50,0.8145,0.74546123,0.773076738
Washington,WA,53,14-Sep,12,50,0.875,0.977381984,0.93642919
West Virginia,WV,54,14-Sep,5,50,0.032,0.09967624,0.072605744
Wisconsin,WI,55,14-Sep,10,50,0.6965,0.756583025,0.732549815
Wyoming,WY,56,14-Sep,3,50,0.0045,0.006693992,0.005816395
Alabama,AL,1,4-Sep,9,60,0.065,0.132004383,0.111903068
Alaska,AK,2,4-Sep,3,60,0.214,0.045289878,0.095902915
Arizona,AZ,4,4-Sep,11,60,0.558,0.547332296,0.550532607
Arkansas,AR,5,4-Sep,6,60,0.155,0.384865852,0.315906096
California,CA,6,4-Sep,55,60,0.986,0.990503075,0.989152153
Colorado,CO,8,4-Sep,9,60,0.8785,0.774968199,0.80602774
Connecticut,CT,9,4-Sep,7,60,0.8265,0.917809834,0.890416884
Delaware,DE,10,4-Sep,3,60,0.755,0.966054366,0.902738056
District of Columbia,DC,11,4-Sep,3,60,0.991,0.995658298,0.994260809
Florida,FL,12,4-Sep,29,60,0.8225,0.560039266,0.638777487
Georgia,GA,13,4-Sep,16,60,0.3875,0.492344744,0.460891321
Hawaii,HI,15,4-Sep,4,60,0.9435,0.960233819,0.955213673
Idaho,ID,16,4-Sep,4,60,0.078,0.06905339,0.071737373
Illinois,IL,17,4-Sep,20,60,0.7905,0.980379475,0.923415632
Indiana,IN,18,4-Sep,11,60,0.126,0.21694777,0.189663439
Iowa,IA,19,4-Sep,6,60,0.3,0.353972678,0.337780875
Kansas,KS,20,4-Sep,6,60,0.1165,0.086331508,0.095382056
Kentucky,KY,21,4-Sep,8,60,0.013,0.245196768,0.175537738
Louisiana,LA,22,4-Sep,8,60,0.1695,0.328407961,0.280735572
Maine,ME,23,4-Sep,4,60,0.614,0.920177091,0.828323963
Maryland,MD,24,4-Sep,10,60,0.893,0.983556382,0.956389467
Massachusetts,MA,25,4-Sep,11,60,0.9675,0.982387198,0.977921039
Michigan,MI,26,4-Sep,16,60,0.952,0.744675179,0.806872625
Minnesota,MN,27,4-Sep,10,60,0.8525,0.929820352,0.906624246
Mississippi,MS,28,4-Sep,6,60,0.164,0.137180359,0.145226251
Missouri,MO,29,4-Sep,10,60,0.1555,0.120384995,0.130919497
Montana,MT,30,4-Sep,3,60,0.078,0.0787406,0.07851842
Nebraska,NE,31,4-Sep,5,60,0.2265,0.046977439,0.100834207
Nevada,NV,32,4-Sep,6,60,0.501,0.755575633,0.679202943
New Hampshire,NH,33,4-Sep,4,60,0.5705,0.770472938,0.710481057
New Jersey,NJ,34,4-Sep,14,60,0.8655,0.956705967,0.929344177
New Mexico,NM,35,4-Sep,5,60,0.7605,0.929873556,0.879061489
New York,NY,36,4-Sep,29,60,0.986,0.955163306,0.964414314
North Carolina,NC,37,4-Sep,15,60,0.505,0.420459909,0.445821936
North Dakota,ND,38,4-Sep,3,60,0.037,0.012254962,0.019678473
Ohio,OH,39,4-Sep,18,60,0.2795,0.377368882,0.348008218
Oklahoma,OK,40,4-Sep,7,60,0.049,0.045801796,0.046761257
Oregon,OR,41,4-Sep,7,60,0.7145,0.984984842,0.90383939
Pennsylvania,PA,42,4-Sep,20,60,0.7365,0.726190669,0.729283468
Rhode Island,RI,44,4-Sep,4,60,0.7155,0.929641358,0.865398951
South Carolina,SC,45,4-Sep,9,60,0.2285,0.19643323,0.206053261
South Dakota,SD,46,4-Sep,3,60,0.0755,0.013020918,0.031764643
Tennessee,TN,47,4-Sep,11,60,0.0785,0.319544468,0.247231128
Texas,TX,48,4-Sep,38,60,0.365,0.18556533,0.239395731
Utah,UT,49,4-Sep,6,60,0.154,0.37877746,0.311344222
Vermont,VT,50,4-Sep,3,60,0.9005,0.975480881,0.952986617
Virginia,VA,51,4-Sep,13,60,0.8055,0.74546123,0.763472861
Washington,WA,53,4-Sep,12,60,0.8685,0.977381984,0.944717389
West Virginia,WV,54,4-Sep,5,60,0.032,0.09967624,0.079373368
Wisconsin,WI,55,4-Sep,10,60,0.622,0.756583025,0.716208117
